number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
2 (AVG)	139.0	25.6	164.7	137.6	37.6	175.3	139.8	46.3	186.1	292.5	1141.7	1434.2
-	307.0	-145.0	162.0	139.0	37.0	176.0	138.0	48.0	186.0	286.0	1139.0	1425.0
-	139.0	27.0	166.0	137.0	35.0	172.0	136.0	48.0	184.0	292.0	1129.0	1421.0
-	135.0	28.0	163.0	136.0	38.0	174.0	138.0	47.0	185.0	292.0	1197.0	1489.0
-	135.0	29.0	164.0	147.0	26.0	173.0	137.0	54.0	191.0	296.0	1125.0	1421.0
-	135.0	30.0	165.0	139.0	36.0	175.0	137.0	48.0	185.0	296.0	1148.0	1444.0
-	136.0	30.0	166.0	137.0	35.0	172.0	138.0	45.0	183.0	292.0	1159.0	1451.0
-	143.0	23.0	166.0	136.0	37.0	173.0	137.0	47.0	184.0	292.0	1152.0	1444.0
-	141.0	26.0	167.0	136.0	43.0	179.0	139.0	49.0	188.0	297.0	1144.0	1441.0
-	144.0	17.0	161.0	137.0	40.0	177.0	144.0	40.0	184.0	289.0	959.0	1248.0
-	140.0	26.0	166.0	136.0	37.0	173.0	135.0	50.0	185.0	291.0	1133.0	1424.0
-	135.0	29.0	164.0	142.0	33.0	175.0	139.0	46.0	185.0	293.0	1134.0	1427.0
-	136.0	29.0	165.0	139.0	36.0	175.0	138.0	46.0	184.0	291.0	1185.0	1476.0
-	137.0	26.0	163.0	136.0	39.0	175.0	140.0	48.0	188.0	290.0	1169.0	1459.0
-	136.0	30.0	166.0	136.0	41.0	177.0	145.0	41.0	186.0	291.0	1151.0	1442.0
-	135.0	31.0	166.0	138.0	37.0	175.0	147.0	42.0	189.0	288.0	1203.0	1491.0
-	134.0	29.0	163.0	135.0	43.0	178.0	138.0	45.0	183.0	291.0	1136.0	1427.0
-	134.0	28.0	162.0	144.0	32.0	176.0	141.0	44.0	185.0	332.0	1126.0	1458.0
-	134.0	30.0	164.0	140.0	39.0	179.0	138.0	49.0	187.0	292.0	1121.0	1413.0
-	134.0	33.0	167.0	138.0	36.0	174.0	140.0	44.0	184.0	290.0	1138.0	1428.0
-	134.0	49.0	183.0	136.0	38.0	174.0	136.0	51.0	187.0	294.0	1125.0	1419.0
-	135.0	26.0	161.0	137.0	38.0	175.0	138.0	46.0	184.0	292.0	1163.0	1455.0
-	136.0	30.0	166.0	137.0	37.0	174.0	164.0	22.0	186.0	294.0	1143.0	1437.0
-	135.0	29.0	164.0	136.0	37.0	173.0	140.0	45.0	185.0	289.0	1152.0	1441.0
-	134.0	30.0	164.0	137.0	32.0	169.0	141.0	42.0	183.0	286.0	1122.0	1408.0
-	134.0	30.0	164.0	136.0	40.0	176.0	139.0	46.0	185.0	287.0	1165.0	1452.0
-	135.0	28.0	163.0	138.0	32.0	170.0	138.0	49.0	187.0	295.0	1159.0	1454.0
-	134.0	28.0	162.0	146.0	30.0	176.0	139.0	45.0	184.0	291.0	1122.0	1413.0
-	136.0	32.0	168.0	139.0	34.0	173.0	139.0	50.0	189.0	289.0	1168.0	1457.0
-	134.0	31.0	165.0	138.0	35.0	173.0	143.0	43.0	186.0	291.0	1146.0	1437.0
-	134.0	34.0	168.0	136.0	90.0	226.0	138.0	46.0	184.0	294.0	1135.0	1429.0
-	134.0	31.0	165.0	137.0	34.0	171.0	140.0	48.0	188.0	293.0	1141.0	1434.0
-	134.0	31.0	165.0	136.0	37.0	173.0	140.0	49.0	189.0	290.0	1140.0	1430.0
-	134.0	31.0	165.0	137.0	37.0	174.0	138.0	89.0	227.0	293.0	1159.0	1452.0
-	135.0	30.0	165.0	136.0	40.0	176.0	137.0	45.0	182.0	293.0	1137.0	1430.0
-	134.0	29.0	163.0	136.0	40.0	176.0	139.0	42.0	181.0	291.0	1124.0	1415.0
-	134.0	30.0	164.0	135.0	39.0	174.0	138.0	43.0	181.0	293.0	1147.0	1440.0
-	134.0	33.0	167.0	137.0	34.0	171.0	139.0	43.0	182.0	288.0	1159.0	1447.0
-	137.0	25.0	162.0	137.0	35.0	172.0	137.0	60.0	197.0	288.0	1150.0	1438.0
-	143.0	18.0	161.0	136.0	33.0	169.0	139.0	42.0	181.0	289.0	1137.0	1426.0
-	138.0	28.0	166.0	136.0	34.0	170.0	138.0	44.0	182.0	292.0	1160.0	1452.0
-	134.0	26.0	160.0	137.0	36.0	173.0	140.0	47.0	187.0	290.0	1163.0	1453.0
-	137.0	29.0	166.0	136.0	43.0	179.0	139.0	43.0	182.0	298.0	1149.0	1447.0
-	134.0	31.0	165.0	138.0	34.0	172.0	139.0	48.0	187.0	297.0	1143.0	1440.0
-	134.0	28.0	162.0	139.0	45.0	184.0	140.0	44.0	184.0	290.0	1138.0	1428.0
-	134.0	31.0	165.0	136.0	34.0	170.0	140.0	44.0	184.0	296.0	1129.0	1425.0
-	135.0	26.0	161.0	139.0	34.0	173.0	140.0	45.0	185.0	289.0	1141.0	1430.0
-	133.0	32.0	165.0	139.0	37.0	176.0	140.0	46.0	186.0	289.0	1126.0	1415.0
-	135.0	31.0	166.0	136.0	43.0	179.0	148.0	38.0	186.0	296.0	1122.0	1418.0
-	135.0	31.0	166.0	138.0	36.0	174.0	142.0	44.0	186.0	291.0	1123.0	1414.0
-	133.0	28.0	161.0	137.0	33.0	170.0	139.0	45.0	184.0	295.0	1148.0	1443.0
4 (AVG)	139.8	43.3	183.1	143.5	119.6	263.1	147.4	190.4	337.8	305.3	1142.5	1447.9
-	138.0	43.0	181.0	143.0	119.0	262.0	148.0	187.0	335.0	304.0	1126.0	1430.0
-	143.0	38.0	181.0	144.0	116.0	260.0	153.0	185.0	338.0	307.0	1148.0	1455.0
-	139.0	41.0	180.0	146.0	116.0	262.0	149.0	191.0	340.0	311.0	1117.0	1428.0
-	138.0	44.0	182.0	143.0	120.0	263.0	154.0	184.0	338.0	305.0	1127.0	1432.0
-	139.0	45.0	184.0	143.0	122.0	265.0	147.0	186.0	333.0	304.0	1158.0	1462.0
-	139.0	46.0	185.0	142.0	126.0	268.0	146.0	191.0	337.0	305.0	1116.0	1421.0
-	138.0	44.0	182.0	143.0	125.0	268.0	153.0	187.0	340.0	307.0	1118.0	1425.0
-	147.0	34.0	181.0	141.0	122.0	263.0	147.0	186.0	333.0	308.0	1131.0	1439.0
-	141.0	44.0	185.0	148.0	114.0	262.0	145.0	193.0	338.0	304.0	1169.0	1473.0
-	139.0	44.0	183.0	146.0	114.0	260.0	146.0	190.0	336.0	313.0	1124.0	1437.0
-	139.0	44.0	183.0	142.0	128.0	270.0	145.0	192.0	337.0	304.0	1179.0	1483.0
-	138.0	48.0	186.0	143.0	120.0	263.0	144.0	199.0	343.0	302.0	1125.0	1427.0
-	139.0	51.0	190.0	143.0	117.0	260.0	147.0	193.0	340.0	301.0	1146.0	1447.0
-	138.0	47.0	185.0	144.0	118.0	262.0	145.0	191.0	336.0	302.0	1170.0	1472.0
-	142.0	39.0	181.0	143.0	119.0	262.0	145.0	189.0	334.0	302.0	1136.0	1438.0
-	138.0	43.0	181.0	146.0	124.0	270.0	145.0	199.0	344.0	311.0	1135.0	1446.0
-	139.0	40.0	179.0	144.0	119.0	263.0	145.0	191.0	336.0	301.0	1113.0	1414.0
-	138.0	48.0	186.0	143.0	116.0	259.0	145.0	189.0	334.0	303.0	1252.0	1555.0
-	139.0	45.0	184.0	142.0	119.0	261.0	151.0	182.0	333.0	312.0	1111.0	1423.0
-	139.0	42.0	181.0	143.0	119.0	262.0	152.0	186.0	338.0	303.0	1138.0	1441.0
-	140.0	40.0	180.0	142.0	120.0	262.0	144.0	193.0	337.0	305.0	1145.0	1450.0
-	139.0	42.0	181.0	147.0	113.0	260.0	146.0	197.0	343.0	311.0	1167.0	1478.0
-	139.0	43.0	182.0	143.0	121.0	264.0	144.0	192.0	336.0	302.0	1154.0	1456.0
-	138.0	42.0	180.0	144.0	119.0	263.0	144.0	195.0	339.0	306.0	1126.0	1432.0
-	138.0	43.0	181.0	141.0	120.0	261.0	151.0	186.0	337.0	306.0	1149.0	1455.0
-	138.0	47.0	185.0	142.0	119.0	261.0	149.0	183.0	332.0	304.0	1141.0	1445.0
-	139.0	45.0	184.0	144.0	117.0	261.0	144.0	201.0	345.0	304.0	1143.0	1447.0
-	146.0	38.0	184.0	143.0	118.0	261.0	144.0	193.0	337.0	305.0	1136.0	1441.0
-	139.0	45.0	184.0	143.0	118.0	261.0	144.0	192.0	336.0	307.0	1126.0	1433.0
-	140.0	41.0	181.0	142.0	121.0	263.0	143.0	195.0	338.0	305.0	1195.0	1500.0
-	138.0	48.0	186.0	143.0	118.0	261.0	144.0	188.0	332.0	307.0	1143.0	1450.0
-	137.0	46.0	183.0	142.0	119.0	261.0	148.0	190.0	338.0	305.0	1114.0	1419.0
-	139.0	47.0	186.0	142.0	126.0	268.0	146.0	191.0	337.0	304.0	1122.0	1426.0
-	146.0	36.0	182.0	143.0	119.0	262.0	144.0	193.0	337.0	308.0	1121.0	1429.0
-	143.0	42.0	185.0	143.0	118.0	261.0	145.0	191.0	336.0	307.0	1203.0	1510.0
-	140.0	48.0	188.0	143.0	121.0	264.0	145.0	192.0	337.0	302.0	1149.0	1451.0
-	139.0	45.0	184.0	143.0	126.0	269.0	145.0	188.0	333.0	312.0	1129.0	1441.0
-	139.0	51.0	190.0	145.0	116.0	261.0	190.0	148.0	338.0	306.0	1139.0	1445.0
-	138.0	47.0	185.0	146.0	117.0	263.0	145.0	193.0	338.0	303.0	1139.0	1442.0
-	140.0	40.0	180.0	144.0	123.0	267.0	144.0	190.0	334.0	304.0	1149.0	1453.0
-	143.0	41.0	184.0	144.0	125.0	269.0	144.0	205.0	349.0	306.0	1129.0	1435.0
-	141.0	44.0	185.0	143.0	117.0	260.0	154.0	189.0	343.0	302.0	1195.0	1497.0
-	139.0	42.0	181.0	143.0	118.0	261.0	145.0	197.0	342.0	309.0	1137.0	1446.0
-	139.0	42.0	181.0	144.0	124.0	268.0	146.0	189.0	335.0	305.0	1116.0	1421.0
-	139.0	44.0	183.0	142.0	120.0	262.0	148.0	190.0	338.0	300.0	1132.0	1432.0
-	139.0	43.0	182.0	142.0	119.0	261.0	144.0	197.0	341.0	307.0	1135.0	1442.0
-	144.0	40.0	184.0	148.0	122.0	270.0	150.0	191.0	341.0	302.0	1139.0	1441.0
-	140.0	42.0	182.0	143.0	119.0	262.0	144.0	192.0	336.0	303.0	1126.0	1429.0
-	141.0	41.0	182.0	144.0	116.0	260.0	144.0	200.0	344.0	309.0	1139.0	1448.0
-	139.0	42.0	181.0	144.0	119.0	263.0	152.0	188.0	340.0	302.0	1149.0	1451.0
8 (AVG)	155.5	106.4	262.0	161.0	473.3	634.3	168.6	739.8	908.4	339.6	1141.8	1481.4
-	154.0	107.0	261.0	158.0	463.0	621.0	168.0	730.0	898.0	375.0	1061.0	1436.0
