number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
2 (AVG)	38.9	15.1	54.0	39.5	26.5	66.0	39.4	15.7	55.1	62.7	32.0	94.7
-	48.0	4.0	52.0	35.0	24.0	59.0	35.0	11.0	46.0	59.0	19.0	78.0
-	44.0	10.0	54.0	34.0	20.0	54.0	39.0	17.0	56.0	66.0	16.0	82.0
-	42.0	12.0	54.0	35.0	22.0	57.0	42.0	15.0	57.0	56.0	22.0	78.0
-	35.0	29.0	64.0	38.0	18.0	56.0	44.0	17.0	61.0	57.0	25.0	82.0
-	52.0	6.0	58.0	40.0	25.0	65.0	34.0	24.0	58.0	66.0	23.0	89.0
-	44.0	4.0	48.0	42.0	15.0	57.0	38.0	13.0	51.0	70.0	26.0	96.0
-	42.0	12.0	54.0	45.0	6.0	51.0	41.0	9.0	50.0	70.0	27.0	97.0
-	35.0	21.0	56.0	44.0	7.0	51.0	33.0	27.0	60.0	59.0	15.0	74.0
-	38.0	14.0	52.0	34.0	18.0	52.0	40.0	23.0	63.0	81.0	16.0	97.0
-	41.0	13.0	54.0	35.0	11.0	46.0	34.0	7.0	41.0	66.0	13.0	79.0
-	36.0	17.0	53.0	43.0	26.0	69.0	34.0	29.0	63.0	66.0	230.0	296.0
-	40.0	8.0	48.0	37.0	20.0	57.0	39.0	11.0	50.0	59.0	218.0	277.0
-	39.0	22.0	61.0	35.0	32.0	67.0	33.0	17.0	50.0	70.0	35.0	105.0
-	44.0	52.0	96.0	43.0	7.0	50.0	43.0	5.0	48.0	58.0	34.0	92.0
-	42.0	4.0	46.0	37.0	14.0	51.0	43.0	30.0	73.0	67.0	37.0	104.0
-	43.0	7.0	50.0	51.0	19.0	70.0	34.0	23.0	57.0	73.0	14.0	87.0
-	40.0	10.0	50.0	38.0	15.0	53.0	47.0	8.0	55.0	62.0	14.0	76.0
-	42.0	5.0	47.0	39.0	10.0	49.0	48.0	6.0	54.0	58.0	29.0	87.0
-	45.0	6.0	51.0	44.0	309.0	353.0	36.0	19.0	55.0	52.0	27.0	79.0
-	42.0	25.0	67.0	37.0	100.0	137.0	43.0	2.0	45.0	56.0	26.0	82.0
-	37.0	14.0	51.0	43.0	19.0	62.0	43.0	2.0	45.0	60.0	25.0	85.0
-	35.0	29.0	64.0	41.0	26.0	67.0	42.0	23.0	65.0	58.0	29.0	87.0
-	35.0	16.0	51.0	34.0	119.0	153.0	43.0	14.0	57.0	58.0	43.0	101.0
-	38.0	12.0	50.0	35.0	33.0	68.0	35.0	32.0	67.0	53.0	33.0	86.0
